"Time","pₕ"
0.28459,-0.39205
0.56917,-0.31286
0.85376,-0.26196
1.1383,-0.20001
1.4229,-0.065853
1.7075,0.08204
1.9921,0.21785
2.2767,0.3079
2.5613,0.34293
2.8459,0.33669
3.1305,0.28809
3.415,0.18783
3.6996,0.027423
3.9842,-0.15072
4.2688,-0.26749
4.5534,-0.32822
4.838,-0.34656
5.1226,-0.3361
5.4071,-0.28876
5.6917,-0.18676
5.9763,-0.0251
6.2609,0.13934
6.5455,0.25413
6.8301,0.32467
7.1147,0.34571
7.3992,0.33152
7.6838,0.26355
7.9684,0.14763
8.253,-0.028089
8.5376,-0.18962
8.8222,-0.29026
9.1068,-0.33745
