"Time","pₕ"
0.14229,-0.25687
0.28459,-0.3239
0.42688,-0.3266
0.56917,-0.32526
0.71147,-0.3154
0.85376,-0.2978
0.99605,-0.27159
1.1383,-0.22776
1.2806,-0.17395
1.4229,-0.11262
1.5652,-0.038753
1.7075,0.044785
1.8498,0.12291
1.9921,0.18934
2.1344,0.25095
2.2767,0.30226
2.419,0.33971
2.5613,0.36349
2.7036,0.37257
2.8459,0.36035
2.9882,0.35436
3.1305,0.32977
3.2727,0.27885
3.415,0.22015
3.5573,0.14671
3.6996,0.066928
3.8419,-0.026355
3.9842,-0.10912
4.1265,-0.18664
4.2688,-0.25153
4.4111,-0.30183
4.5534,-0.33839
4.6957,-0.36347
4.838,-0.37525
4.9803,-0.37162
5.1226,-0.36358
5.2648,-0.35043
5.4071,-0.32301
5.5494,-0.27241
5.6917,-0.21807
5.834,-0.14574
5.9763,-0.064923
6.1186,0.018292
6.2609,0.097577
6.4032,0.16913
6.5455,0.2339
6.6878,0.28777
6.8301,0.32863
6.9724,0.35845
7.1147,0.36972
7.257,0.36918
7.3992,0.35734
7.5415,0.3409
7.6838,0.29988
7.8261,0.24963
7.9684,0.17767
8.1107,0.10385
8.253,0.0094799
8.3953,-0.077696
8.5376,-0.15716
8.6799,-0.22619
8.8222,-0.28129
8.9645,-0.32623
