"Time","pₕ"
0.28459,-0.33529
0.56917,-0.35329
0.85376,-0.30946
1.1383,-0.23948
1.4229,-0.12165
1.7075,0.029669
1.9921,0.19151
2.2767,0.30963
2.5613,0.37756
2.8459,0.37757
3.1305,0.33894
3.415,0.23201
3.6996,0.074984
3.9842,-0.1033
4.2688,-0.25422
4.5534,-0.34922
4.838,-0.38887
5.1226,-0.37652
5.4071,-0.33465
5.6917,-0.23124
5.9763,-0.077138
6.2609,0.091717
6.5455,0.23733
6.8301,0.34
7.1147,0.38636
7.3992,0.37156
7.6838,0.31265
7.9684,0.19354
8.253,0.025043
8.5376,-0.15424
8.8222,-0.28764
9.1068,-0.36591
