"Time","pₕ"
0.14229,-0.35875
0.28459,-0.30259
0.42688,-0.30129
0.56917,-0.30009
0.71147,-0.26836
0.85376,-0.26058
0.99605,-0.23159
1.1383,-0.18606
1.2806,-0.12234
1.4229,-0.054729
1.5652,0.01508
1.7075,0.091664
1.8498,0.15572
1.9921,0.21234
2.1344,0.25882
2.2767,0.29354
2.419,0.31641
2.5613,0.32758
2.7036,0.33401
2.8459,0.32085
2.9882,0.30424
3.1305,0.28295
3.2727,0.23836
3.415,0.16711
3.5573,0.10108
3.6996,0.013376
3.8419,-0.081858
3.9842,-0.14513
4.1265,-0.20815
4.2688,-0.25993
4.4111,-0.28961
4.5534,-0.3145
4.6957,-0.32616
4.838,-0.33581
4.9803,-0.32798
5.1226,-0.33108
5.2648,-0.29969
5.4071,-0.28117
5.5494,-0.23242
5.6917,-0.16605
5.834,-0.089531
5.9763,-0.015283
6.1186,0.070975
6.2609,0.13672
6.4032,0.19335
6.5455,0.24585
6.6878,0.28325
6.8301,0.30768
6.9724,0.32657
7.1147,0.3289
7.257,0.3301
7.3992,0.32193
7.5415,0.29006
7.6838,0.25027
7.8261,0.21335
7.9684,0.11716
8.1107,0.053529
8.253,-0.048706
8.3953,-0.11776
8.5376,-0.18287
8.6799,-0.23698
8.8222,-0.27871
8.9645,-0.30793
