"Time","pₕ"
0.028459,-0.071488
0.056917,-0.1736
0.085376,-0.16456
0.11383,-0.16352
0.14229,-0.16433
0.17075,-0.16795
0.19921,-0.16975
0.22767,-0.17147
0.25613,-0.17389
0.28459,-0.17663
0.31305,-0.17833
0.3415,-0.1795
0.36996,-0.1818
0.39842,-0.18257
0.42688,-0.1854
0.45534,-0.18567
0.4838,-0.18642
0.51226,-0.18564
0.54071,-0.18849
0.56917,-0.18763
0.59763,-0.18958
0.62609,-0.1909
0.65455,-0.19176
0.68301,-0.19258
0.71147,-0.19419
0.73992,-0.19215
0.76838,-0.19442
0.79684,-0.191
0.8253,-0.18999
0.85376,-0.19105
0.88222,-0.18562
0.91068,-0.18723
0.93914,-0.18491
0.96759,-0.1824
0.99605,-0.18212
1.0245,-0.17502
1.053,-0.16899
1.0814,-0.16397
1.1099,-0.16033
1.1383,-0.15264
1.1668,-0.14736
1.1953,-0.1429
1.2237,-0.13229
1.2522,-0.1273
1.2806,-0.11707
1.3091,-0.10614
1.3376,-0.099017
1.366,-0.08852
1.3945,-0.079674
1.4229,-0.072041
1.4514,-0.060396
1.4798,-0.048694
1.5083,-0.0479
1.5368,-0.02521
1.5652,-0.019153
1.5937,-0.0092521
1.6221,-0.00046517
1.6506,0.012962
1.6791,0.020685
1.7075,0.026635
1.736,0.033039
1.7644,0.052857
1.7929,0.053098
1.8214,0.061734
1.8498,0.073625
1.8783,0.081711
1.9067,0.084907
1.9352,0.096128
1.9636,0.10469
1.9921,0.10511
2.0206,0.1129
2.049,0.12315
2.0775,0.12364
2.1059,0.12863
2.1344,0.13566
2.1629,0.14202
2.1913,0.14303
2.2198,0.1493
2.2482,0.15243
2.2767,0.15632
2.3051,0.15959
2.3336,0.16167
2.3621,0.16594
2.3905,0.16875
2.419,0.17194
2.4474,0.17549
2.4759,0.17501
2.5044,0.17999
2.5328,0.18448
2.5613,0.18104
2.5897,0.18705
2.6182,0.1887
2.6467,0.1877
2.6751,0.19104
2.7036,0.19243
2.732,0.19478
2.7605,0.19184
2.7889,0.19413
2.8174,0.19461
2.8459,0.19274
2.8743,0.19451
2.9028,0.19271
2.9312,0.19604
2.9597,0.19403
2.9882,0.19404
3.0166,0.18973
3.0451,0.18629
3.0735,0.18268
3.102,0.17542
3.1305,0.17331
3.1589,0.17167
3.1874,0.16871
3.2158,0.1638
3.2443,0.15499
3.2727,0.14937
3.3012,0.139
3.3297,0.12899
3.3581,0.12254
3.3866,0.11365
3.415,0.10679
3.4435,0.096361
3.472,0.085829
3.5004,0.075449
3.5289,0.064507
3.5573,0.050867
3.5858,0.037293
3.6142,0.029612
3.6427,0.02117
3.6712,0.010245
3.6996,-0.001831
3.7281,-0.01209
3.7565,-0.023899
3.785,-0.036142
3.8135,-0.043339
3.8419,-0.054597
3.8704,-0.062522
3.8988,-0.069942
3.9273,-0.079692
3.9558,-0.087712
3.9842,-0.095267
4.0127,-0.10203
4.0411,-0.11
4.0696,-0.11494
4.098,-0.12274
4.1265,-0.1263
4.155,-0.1331
4.1834,-0.13757
4.2119,-0.14299
4.2403,-0.1462
4.2688,-0.15064
4.2973,-0.15458
4.3257,-0.15731
4.3542,-0.16062
4.3826,-0.16491
4.4111,-0.16719
4.4395,-0.16935
4.468,-0.17161
4.4965,-0.17395
